group,n_neurons,mean_n_synapses,mean_coverage,median_coverage,sd_coverage,min_coverage,max_coverage,mean_n_typed,median_n_typed,mean_cave_frac,mean_hdf5_frac,mean_exc_frac,median_exc_frac
exc_23P,538,4360.75278810409,0.2760656514034322,0.2847495320867244,0.08471030447589063,0.07663635008200388,0.47760115606936415,1163.7527881040892,1100.0,0.32962379241532863,0.6703762075846713,0.27405900749990686,0.27257318908156786
exc_4P,520,2403.392307692308,0.3921779907288605,0.4067049869946373,0.07442007433553999,0.1327148043565954,0.5552123552123552,930.8826923076923,874.0,0.37236002434933896,0.6276399756506611,0.3488705001096777,0.34297831675800017
exc_5PET,70,8548.814285714287,0.27530934184524886,0.2931050741275256,0.06183490244602953,0.11730903994393833,0.3668349637109498,2352.714285714286,2276.0,0.3810913579102064,0.6189086420897936,0.5054324555185012,0.48386773409841743
exc_5PIT,196,3055.7448979591836,0.33351971430232186,0.34035287618807164,0.08143942080021205,0.1248097412480974,0.500190186382655,992.4642857142857,949.5,0.36607615344612154,0.6339238465538785,0.46814358988607235,0.46065980431674297
exc_5PNP,14,948.1428571428571,0.22480536013022764,0.23810793726047963,0.06367589927108389,0.08643457382953182,0.3184979137691238,221.07142857142858,220.5,0.43291888215955154,0.5670811178404485,0.5691426988283662,0.5338608759661392
exc_6PCT,166,2363.855421686747,0.21187191043013678,0.21080341390362528,0.04193869775235811,0.09095127610208817,0.35136476426799007,507.1265060240964,485.5,0.3590598031715239,0.640940196828476,0.5596758479851635,0.558066933066933
exc_6PIT,237,2519.5274261603377,0.19595260417873306,0.1971774193548387,0.04559133449098322,0.04116222760290557,0.31910669975186107,502.9535864978903,487,0.36407371678595185,0.6359262832140482,0.5698403061261009,0.5608465608465608
inh_BC,214,7328.070093457944,0.3771440719163642,0.39418187642816316,0.13235197237112978,0.05635948210205636,0.610818438381938,2914.911214953271,2722.0,0.28892731500158875,0.7110726849984113,0.5252273784709327,0.55262083700291
inh_BPC,85,2736.5176470588235,0.3235370827938693,0.3296882270823639,0.09039354847603329,0.10217501264542236,0.5031152647975078,915.2352941176471,825,0.2966207386981744,0.7033792613018256,0.43807566170571643,0.4167150319210679
inh_MC,114,6029.043859649123,0.3613677358965467,0.3615045726121402,0.13208871458501442,0.08102667337695017,0.6262442170194868,2335.09649122807,2031.5,0.30916296064508136,0.6908370393549186,0.5850476957514028,0.6207762955346021
inh_NGC,24,3348.9583333333335,0.23758580260907855,0.21363434403564852,0.08483028578292702,0.13850017940437748,0.4453599306157849,861.25,615.5,0.2635306179056516,0.7364693820943484,0.33962975385089333,0.3004433224555138
excitatory,1741,3329.117748420448,0.2997450734807939,0.30013106159895153,0.10182774633064617,0.04116222760290557,0.5552123552123552,962.5784032165423,840,0.35688822324252417,0.6431117767574758,0.3974262852940653,0.36317780580075665
inhibitory,437,5877.567505720824,0.354936989891087,0.361202870486388,0.12742268989917202,0.05635948210205636,0.6262442170194868,2261.91533180778,1771,0.2943078273294273,0.7056921726705727,0.5136879671529676,0.5463152507676561
OVERALL,2178,3840.4458218549125,0.3108189336604532,0.3089534568260795,0.10967249505562914,0.04116222760290557,0.6262442170194868,1223.280991735537,912.0,0.34433191791009843,0.6556680820899016,0.42075335369275235,0.39912180620788884
