cell_type,neuron_id,n_nodes,n_unique_radii,frac_non_modal_radius,radius_mean_um,radius_median_um,radius_std_um,radius_min_um,radius_max_um,n_branches,total_length_um,L_lambda_mean,L_lambda_median,L_lambda_std,L_lambda_p10,L_lambda_p90,branch_length_mean_um,branch_mean_radius_um
exc_23P,exc_23P_864691136445215875,7463,136,0.9405,0.2171,0.151,0.1339,0.004,5.851,182,15077.5,0.2337,0.1019,0.3312,0.0156,0.7141,82.84,0.3966
exc_23P,exc_23P_864691135294442678,4337,121,0.9318,0.2569,0.242,0.1549,0.046,5.645,137,8694.2,0.1687,0.102,0.1988,0.0226,0.4364,63.46,0.3605
exc_23P,exc_23P_864691135946676260,3614,105,0.9377,0.2933,0.322,0.1568,0.071,6.151,125,6961.5,0.1323,0.0747,0.1815,0.0184,0.2245,55.69,0.4005
exc_23P,exc_23P_864691135347633055,3707,104,0.9255,0.2679,0.267,0.163,0.011,5.674,121,7029.9,0.1505,0.1037,0.1791,0.017,0.3342,58.1,0.3875
exc_23P,exc_23P_864691136331247338,5253,94,0.8848,0.1847,0.125,0.1152,0.002,4.859,123,10258.6,0.2546,0.1705,0.3408,0.0172,0.5754,83.4,0.2857
exc_4P,exc_4P_864691136603171281,4514,98,0.9415,0.1893,0.136,0.1118,0.0,5.227,152,9428.1,0.184,0.1096,0.2013,0.0201,0.4525,62.03,0.2633
exc_4P,exc_4P_864691135396940021,5598,68,0.9219,0.1715,0.131,0.1077,0.035,5.104,94,10933.0,0.3617,0.2366,0.3926,0.0225,0.8375,116.31,0.2303
exc_4P,exc_4P_864691135941975974,3474,65,0.9263,0.1813,0.136,0.1169,0.096,5.159,87,6648.3,0.2309,0.1765,0.2216,0.0226,0.5576,76.42,0.2641
exc_4P,exc_4P_864691136424704815,4466,78,0.9019,0.1854,0.131,0.1208,0.057,4.925,98,9196.0,0.2868,0.1949,0.3521,0.0173,0.6471,93.84,0.2941
exc_4P,exc_4P_864691134991032954,4375,89,0.9461,0.1997,0.148,0.112,0.0,4.88,111,8906.5,0.2315,0.1682,0.2426,0.0174,0.5413,80.24,0.2753
inh_BC,inh_BC_864691135727929663,8186,154,0.9455,0.1741,0.159,0.0741,0.001,5.377,348,17047.0,0.146,0.0839,0.1569,0.0222,0.3464,48.99,0.1976
inh_BC,inh_BC_864691136107670745,8107,249,0.9771,0.259,0.247,0.1033,0.0,6.296,513,17021.7,0.0813,0.0595,0.0781,0.0196,0.1638,33.18,0.2704
inh_BC,inh_BC_864691136312076122,11804,147,0.9554,0.2019,0.184,0.0743,0.051,6.02,423,23128.4,0.1512,0.1003,0.1388,0.0263,0.3587,54.68,0.2277
inh_BC,inh_BC_864691135764274742,2863,76,0.9424,0.2007,0.158,0.1361,0.009,5.977,105,5666.1,0.1526,0.1266,0.1314,0.0195,0.3172,53.96,0.347
inh_BC,inh_BC_864691135996891050,5010,109,0.9623,0.1964,0.168,0.1034,0.001,5.842,165,10187.4,0.1743,0.139,0.1549,0.0267,0.3734,61.74,0.2657
inh_MC,inh_MC_864691135940881830,3679,127,0.9598,0.2248,0.178,0.1218,0.001,5.385,205,7598.9,0.1009,0.0748,0.09,0.0278,0.2171,37.07,0.242
inh_MC,inh_MC_864691136814345075,7324,164,0.9671,0.1973,0.172,0.1007,0.012,5.262,375,14387.8,0.1093,0.0671,0.1208,0.018,0.2351,38.37,0.2199
inh_MC,inh_MC_864691135641196091,10211,197,0.9666,0.2038,0.167,0.1095,0.001,6.103,417,20722.6,0.1411,0.0965,0.1386,0.0245,0.3107,49.69,0.2295
inh_MC,inh_MC_864691135308347974,2460,81,0.9411,0.2372,0.233,0.1649,0.01,5.417,92,5088.7,0.1423,0.0917,0.1332,0.0094,0.3405,55.31,0.3922
inh_MC,inh_MC_864691135774221643,11111,185,0.9704,0.2072,0.188,0.0963,0.022,5.949,631,21546.2,0.0939,0.0639,0.0887,0.0196,0.2105,34.15,0.2132
